ticket_id,customer_id,created_date,category,priority,status,resolved_date,resolution_hours,satisfaction_score,agent_id
TKT100000,14896,2024-05-18 00:00:00,Product Query,High,Closed,2024-05-18 12:00:00,12,3,AGT010
TKT100001,17729,2024-01-05 00:00:00,Order Issue,Medium,Closed,2024-01-07 05:00:00,53,3,AGT010
TKT100002,16963,2024-01-13 00:00:00,Payment,Low,Closed,2024-01-16 14:00:00,86,2,AGT018
TKT100003,12577,2024-03-04 00:00:00,Shipping,High,Closed,2024-03-04 04:00:00,4,1,AGT008
TKT100004,12985,2024-07-29 00:00:00,Payment,Medium,Closed,2024-07-30 21:00:00,45,1,AGT003
TKT100005,13620,2024-05-22 00:00:00,Other,Medium,Closed,2024-05-22 20:00:00,20,1,AGT001
TKT100006,19023,2024-04-26 00:00:00,Product Query,Low,Closed,2024-04-29 22:00:00,94,4,AGT002
TKT100007,12701,2024-08-19 00:00:00,Order Issue,Medium,Closed,2024-08-20 02:00:00,26,4,AGT001
TKT100008,11557,2024-08-30 00:00:00,Payment,High,Resolved,2024-08-30 10:00:00,10,,AGT005
TKT100009,12904,2024-08-12 00:00:00,Shipping,Medium,Closed,2024-08-13 00:00:00,24,3,AGT012
TKT100010,13519,2024-01-17 00:00:00,Technical,Low,In Progress,,,,AGT008
TKT100011,19267,2024-10-18 00:00:00,Other,Medium,Open,,,,AGT014
TKT100012,14337,2024-08-12 00:00:00,Product Query,Medium,Open,,,,AGT002
TKT100013,14896,2024-05-23 00:00:00,Payment,High,Closed,2024-05-23 23:00:00,23,4,AGT013
TKT100014,17222,2024-10-24 00:00:00,Shipping,High,Closed,2024-10-24 08:00:00,8,2,AGT016
TKT100015,11656,2024-08-28 00:00:00,Shipping,Medium,Open,,,,AGT020
TKT100016,18919,2024-10-19 00:00:00,Order Issue,High,Resolved,2024-10-19 07:00:00,7,,AGT009
TKT100017,16748,2024-07-05 00:00:00,Product Query,High,Closed,2024-07-05 16:00:00,16,5,AGT008
TKT100018,16483,2024-06-10 00:00:00,Shipping,Medium,In Progress,,,,AGT017
TKT100019,19927,2024-05-02 00:00:00,Shipping,Medium,Resolved,2024-05-02 20:00:00,20,,AGT017
TKT100020,12533,2024-03-23 00:00:00,Returns,Low,Closed,2024-03-24 12:00:00,36,5,AGT002
TKT100021,11499,2024-05-09 00:00:00,Payment,Medium,Resolved,2024-05-10 00:00:00,24,,AGT002
TKT100022,14273,2024-08-02 00:00:00,Order Issue,Medium,Closed,2024-08-02 22:00:00,22,2,AGT019
TKT100023,12499,2024-07-18 00:00:00,Product Query,Medium,In Progress,,,,AGT006
TKT100024,12232,2024-03-30 00:00:00,Payment,High,Resolved,2024-03-30 18:00:00,18,,AGT009
TKT100025,12224,2024-08-30 00:00:00,Payment,High,Closed,2024-08-30 20:00:00,20,5,AGT020
TKT100026,12061,2024-08-11 00:00:00,Payment,Low,In Progress,,,,AGT008
TKT100027,15783,2024-05-02 00:00:00,Shipping,Medium,In Progress,,,,AGT015
TKT100028,16864,2024-10-30 00:00:00,Order Issue,Low,Resolved,2024-10-31 05:00:00,29,,AGT014
TKT100029,17405,2024-09-19 00:00:00,Order Issue,Medium,In Progress,,,,AGT003
TKT100030,14441,2024-06-26 00:00:00,Payment,Low,Resolved,2024-06-27 19:00:00,43,,AGT020
TKT100031,18938,2024-06-29 00:00:00,Order Issue,Low,Open,,,,AGT008
TKT100032,14308,2024-06-03 00:00:00,Product Query,High,Resolved,2024-06-03 10:00:00,10,,AGT005
TKT100033,11785,2024-07-20 00:00:00,Order Issue,Medium,Closed,2024-07-22 11:00:00,59,3,AGT006
TKT100034,16493,2024-02-28 00:00:00,Product Query,High,Closed,2024-02-28 18:00:00,18,4,AGT014
TKT100035,14009,2024-10-06 00:00:00,Product Query,Medium,Closed,2024-10-06 22:00:00,22,2,AGT012
TKT100036,12736,2024-01-28 00:00:00,Order Issue,Medium,In Progress,,,,AGT007
TKT100037,12829,2024-10-11 00:00:00,Returns,Low,Closed,2024-10-16 04:00:00,124,5,AGT005
TKT100038,17278,2024-04-27 00:00:00,Payment,Medium,In Progress,,,,AGT004
TKT100039,17770,2024-10-13 00:00:00,Payment,Medium,Resolved,2024-10-15 10:00:00,58,,AGT009
TKT100040,13887,2024-10-07 00:00:00,Technical,Medium,Resolved,2024-10-09 06:00:00,54,,AGT019
TKT100041,11799,2024-05-24 00:00:00,Product Query,High,Resolved,2024-05-24 04:00:00,4,,AGT011
TKT100042,10628,2024-07-09 00:00:00,Payment,Low,Closed,2024-07-14 11:00:00,131,3,AGT007
TKT100043,19967,2024-07-11 00:00:00,Other,Urgent,In Progress,,,,AGT012
TKT100044,18909,2024-05-29 00:00:00,Shipping,Medium,Closed,2024-05-30 04:00:00,28,5,AGT016
