order_id,customer_id,order_date,order_time,status,payment_method,subtotal,shipping,tax,total,items_count,shipping_city,shipping_country
100001,10005,2023-11-19,14:32:00,delivered,Credit Card,3701.84,0,666.33,4368.17,1,Varanasi,India
100002,10005,2024-05-19,04:48:00,processing,UPI,599.0,99,107.82,805.82,1,Varanasi,India
100003,10005,2023-12-30,09:11:00,delivered,Debit Card,5999.0,0,1079.82,7078.82,1,Varanasi,India
100004,10008,2024-07-19,10:25:00,pending,Credit Card,49998.0,0,8999.64,58997.64,1,East Jefferyhaven,Australia
100005,10008,2024-06-02,23:16:00,delivered,Debit Card,10508.14,0,1891.47,12399.61,2,East Jefferyhaven,Australia
100006,10008,2024-05-17,06:56:00,delivered,Debit Card,6897.0,0,1241.46,8138.46,2,East Jefferyhaven,Australia
100007,10012,2023-11-13,02:16:00,shipped,Debit Card,3464.6,0,623.63,4088.23,2,Kharagpur,India
100008,10016,2023-10-21,12:29:00,delivered,Credit Card,24999.0,0,4499.82,29498.82,1,Khora ,India
100009,10016,2023-11-06,08:25:00,delivered,UPI,1299.0,0,233.82,1532.82,1,Khora ,India
100010,10016,2023-11-23,17:07:00,delivered,Credit Card,1998.0,0,359.64,2357.64,1,Khora ,India
100011,10016,2023-05-20,09:59:00,delivered,UPI,5205.26,0,936.95,6142.21,2,Khora ,India
100012,10016,2023-07-24,05:53:00,delivered,Net Banking,1999.0,0,359.82,2358.82,1,Khora ,India
100013,10016,2023-08-13,03:15:00,delivered,Credit Card,1398.0,0,251.64,1649.64,1,Khora ,India
100014,10016,2023-10-24,07:09:00,delivered,Credit Card,1999.0,0,359.82,2358.82,1,Khora ,India
100015,10016,2023-07-22,12:51:00,delivered,Debit Card,1798.0,0,323.64,2121.64,1,Khora ,India
100016,10016,2023-07-02,14:40:00,delivered,UPI,18687.29,0,3363.71,22051.0,5,Khora ,India
100017,10016,2023-12-05,19:01:00,delivered,UPI,4901.46,0,882.26,5783.72,2,Khora ,India
100018,10016,2023-05-26,01:16:00,returned,Credit Card,999.0,0,179.82,1178.82,1,Khora ,India
100019,10016,2023-09-01,00:33:00,delivered,Debit Card,9862.3,0,1775.21,11637.51,2,Khora ,India
100020,10016,2024-01-31,18:09:00,processing,Net Banking,2661.32,0,479.04,3140.36,1,Khora ,India
100021,10016,2024-02-28,16:19:00,pending,Credit Card,2298.0,0,413.64,2711.64,2,Khora ,India
100022,10016,2023-09-27,08:59:00,processing,Debit Card,15311.27,0,2756.03,18067.3,2,Khora ,India
100023,10016,2023-09-27,18:09:00,delivered,COD,11998.0,0,2159.64,14157.64,1,Khora ,India
100024,10016,2023-05-21,14:51:00,delivered,Credit Card,13901.56,0,2502.28,16403.84,3,Khora ,India
100025,10016,2023-12-27,21:12:00,delivered,Net Banking,1372.22,0,247.0,1619.22,2,Khora ,India
100026,10016,2023-08-01,17:00:00,delivered,Credit Card,999.0,0,179.82,1178.82,1,Khora ,India
100027,10016,2025-06-15,05:53:00,delivered,Credit Card,6927.56,0,1246.96,8174.52,3,Khora ,India
100028,10016,2024-01-04,07:25:00,processing,Wallet,1999.0,0,359.82,2358.82,1,Khora ,India
100029,10016,2024-02-14,16:50:00,processing,UPI,17997.0,0,3239.46,21236.46,1,Khora ,India
100030,10016,2023-07-27,02:36:00,delivered,Credit Card,866.2,99,155.92,1121.12,1,Khora ,India
100031,10016,2023-05-13,23:02:00,pending,Wallet,8994.0,0,1618.92,10612.92,4,Khora ,India
100032,10017,2024-10-05,10:37:00,delivered,Credit Card,1891.49,0,340.47,2231.96,1,Katihar,India
100033,10017,2024-10-03,11:45:00,delivered,Wallet,909.42,49,163.7,1122.12,1,Katihar,India
100034,10017,2024-10-13,15:31:00,shipped,Debit Card,6507.96,0,1171.43,7679.39,4,Katihar,India
100035,10025,2022-12-02,11:06:00,delivered,UPI,652.98,149,117.54,919.52,1,Ghaziabad,India
100036,10025,2023-05-26,02:02:00,delivered,UPI,899.0,49,161.82,1109.82,1,Ghaziabad,India
100037,10025,2023-07-07,12:32:00,delivered,UPI,7999.0,0,1439.82,9438.82,1,Ghaziabad,India
100038,10025,2023-12-30,14:10:00,delivered,Credit Card,6431.0,0,1157.58,7588.58,2,Ghaziabad,India
100039,10027,2022-11-13,15:55:00,returned,Wallet,2356.86,0,424.23,2781.09,2,Dehradun,India
100040,10031,2022-09-02,19:25:00,delivered,Net Banking,1999.0,0,359.82,2358.82,1,Bhilwara,India
100041,10031,2023-03-20,19:18:00,delivered,Debit Card,2598.0,0,467.64,3065.64,1,Bhilwara,India
100042,10031,2023-05-11,13:15:00,delivered,Credit Card,699.0,149,125.82,973.82,1,Bhilwara,India
100043,10036,2024-07-11,04:01:00,cancelled,Credit Card,12396.0,0,2231.28,14627.28,2,Begusarai,India
100044,10048,2022-11-17,10:54:00,shipped,UPI,1198.0,0,215.64,1413.64,1,Brandtside,USA
100045,10058,2023-10-30,14:35:00,delivered,Debit Card,4095.0,0,737.1,4832.1,4,Sirsa,India
100046,10068,2023-06-04,09:16:00,delivered,Debit Card,2998.0,0,539.64,3537.64,1,Morbi,India
100047,10068,2023-05-19,15:50:00,delivered,Credit Card,599.0,99,107.82,805.82,1,Morbi,India
100048,10068,2023-10-11,19:49:00,delivered,UPI,4595.0,0,827.1,5422.1,4,Morbi,India
100049,10068,2023-10-23,19:58:00,delivered,Credit Card,4107.28,0,739.31,4846.59,2,Morbi,India
100050,10068,2023-06-02,11:27:00,delivered,Debit Card,7527.26,0,1354.91,8882.17,2,Morbi,India
100051,10068,2023-05-16,17:25:00,shipped,Debit Card,21296.0,0,3833.28,25129.28,3,Morbi,India
100052,10071,2023-12-24,11:55:00,delivered,Debit Card,1798.0,0,323.64,2121.64,1,Olsonfurt,USA
100053,10071,2023-10-09,20:11:00,delivered,Credit Card,5640.17,0,1015.23,6655.4,2,Olsonfurt,USA
100054,10072,2023-12-02,14:22:00,delivered,Debit Card,22021.52,0,3963.87,25985.39,5,Singrauli,India
100055,10075,2022-11-12,04:51:00,pending,Net Banking,6695.0,0,1205.1,7900.1,3,Naihati,India
100056,10081,2024-01-15,13:56:00,cancelled,Credit Card,12432.48,0,2237.85,14670.33,2,Lake Jennifer,USA
100057,10088,2024-09-18,04:19:00,processing,UPI,944.19,49,169.95,1163.14,1,Melissaborough,UK
100058,10088,2024-09-02,08:31:00,delivered,Credit Card,616.75,149,111.02,876.77,1,Melissaborough,UK
100059,10088,2024-09-02,01:44:00,delivered,Credit Card,7497.0,0,1349.46,8846.46,1,Melissaborough,UK
100060,10095,2022-07-10,01:05:00,delivered,Debit Card,799.0,49,143.82,991.82,1,Pallavaram,India
100061,10097,2023-03-16,08:58:00,delivered,Credit Card,5999.0,0,1079.82,7078.82,1,Nagaon,India
100062,10099,2023-05-25,22:46:00,delivered,Debit Card,6996.0,0,1259.28,8255.28,3,Bilaspur,India
100063,10099,2023-12-15,04:21:00,pending,Credit Card,2285.1,0,411.32,2696.42,2,Bilaspur,India
100064,10099,2023-06-12,10:46:00,delivered,Net Banking,17997.0,0,3239.46,21236.46,1,Bilaspur,India
100065,10102,2022-08-31,06:56:00,delivered,Net Banking,6998.0,0,1259.64,8257.64,1,Orai,India
100066,10102,2023-07-20,15:11:00,delivered,Debit Card,4656.7,0,838.21,5494.91,3,Orai,India
100067,10102,2023-09-03,08:15:00,delivered,UPI,1995.46,0,359.18,2354.64,3,Orai,India
100068,10102,2023-07-24,18:32:00,delivered,Net Banking,1999.0,0,359.82,-2358.82,1,Orai,India
100069,10102,2023-06-10,18:51:00,returned,Debit Card,4498.0,0,809.64,5307.64,2,Orai,India
100070,10102,2022-10-11,00:09:00,delivered,Credit Card,25511.48,0,4592.07,30103.55,2,Orai,India
100071,10110,2024-01-05,08:13:00,processing,Debit Card,11998.0,0,2159.64,14157.64,1,Jasonbury,USA
100072,10120,2023-05-15,21:51:00,delivered,UPI,13262.92,0,2387.33,15650.25,3,Jessicamouth,USA
100073,10120,2022-08-19,23:47:00,returned,Credit Card,2679.34,0,482.28,3161.62,1,Jessicamouth,USA
100074,10120,2023-02-06,16:13:00,delivered,UPI,12295.0,0,2213.1,14508.1,3,Jessicamouth,USA
100075,10120,2023-11-13,00:20:00,delivered,Debit Card,8311.69,0,1496.1,9807.79,3,Jessicamouth,USA
100076,10120,2023-01-01,15:24:00,delivered,UPI,6958.58,0,1252.54,8211.12,2,Jessicamouth,USA
100077,10125,2024-04-04,12:47:00,delivered,Credit Card,7495.0,0,1349.1,8844.1,4,Salem,India
100078,10125,2024-04-26,06:04:00,delivered,COD,64591.0,0,11626.38,76217.38,5,Salem,India
100079,10125,2024-04-26,01:12:00,delivered,Net Banking,10595.0,0,1907.1,12502.1,4,Salem,India
100080,10129,2024-03-11,23:52:00,delivered,Credit Card,2397.0,0,431.46,2828.46,1,East Ryanmouth,UK
100081,10130,2024-07-20,21:18:00,cancelled,Debit Card,22894.0,0,4120.92,27014.92,5,Lake Tracyville,Australia
100082,10130,2024-07-27,22:52:00,processing,Credit Card,4066.49,0,731.97,4798.46,3,Lake Tracyville,Australia
100083,10130,2024-07-28,15:52:00,delivered,UPI,17498.0,0,3149.64,20647.64,2,Lake Tracyville,Australia
100084,10130,2024-07-17,16:49:00,cancelled,UPI,4698.0,0,845.64,5543.64,2,Lake Tracyville,Australia
100085,10130,2024-07-26,15:48:00,shipped,Credit Card,1299.0,0,233.82,1532.82,1,Lake Tracyville,Australia
100086,10130,2024-07-18,07:57:00,delivered,Debit Card,653.27,149,117.59,919.86,1,Lake Tracyville,Australia
100087,10130,2024-08-21,07:22:00,delivered,Credit Card,999.0,0,179.82,1178.82,1,Lake Tracyville,Australia
100088,10167,2024-09-10,09:16:00,delivered,Credit Card,7595.0,0,1367.1,8962.1,4,Navi Mumbai,India
100089,10167,2024-09-20,15:13:00,delivered,Debit Card,3197.0,0,575.46,3772.46,2,Navi Mumbai,India
100090,10167,2024-09-24,09:08:00,delivered,Net Banking,13968.77,0,2514.38,16483.15,1,Navi Mumbai,India
100091,10170,2024-02-25,21:00:00,shipped,Debit Card,44923.93,0,8086.31,53010.24,5,Rohtak,India
100092,10170,2024-01-09,17:52:00,delivered,UPI,23858.5,0,4294.53,28153.03,1,Rohtak,India
100093,10170,2024-03-12,19:38:00,delivered,Credit Card,1354.05,0,243.73,1597.78,1,Rohtak,India
100094,10170,2024-04-13,23:34:00,cancelled,Debit Card,19727.0,0,3550.86,23277.86,2,Rohtak,India
100095,10170,2024-04-17,08:19:00,delivered,Net Banking,1598.0,0,287.64,1885.64,1,Rohtak,India
100096,10170,2024-03-21,19:15:00,shipped,Debit Card,2998.0,0,539.64,-3537.64,1,Rohtak,India
100097,10175,2023-10-02,19:59:00,processing,Debit Card,3796.0,0,683.28,4479.28,2,Aguirreborough,Australia
100098,10175,2023-06-10,15:27:00,delivered,Debit Card,844.56,99,152.02,1095.58,1,Aguirreborough,Australia
100099,10175,2023-06-08,21:47:00,delivered,Debit Card,13896.0,0,2501.28,16397.28,3,Aguirreborough,Australia
100100,10181,2023-11-18,11:52:00,delivered,Debit Card,20628.73,0,3713.17,24341.9,4,Mooreport,Canada
100101,10181,2023-11-28,10:07:00,delivered,Credit Card,4564.97,0,821.69,5386.66,4,Mooreport,Canada
