session_id,customer_id,session_date,session_hour,device,browser,traffic_source,landing_page,pages_viewed,time_on_site_seconds,bounced,converted
S1000000,10347,2024-01-02,12,Desktop,Chrome,Paid Search,/products,1,74,True,False
S1000001,,2024-08-07,20,Desktop,Chrome,Social,/sale,3,227,False,False
S1000002,11254,2024-06-05,16,Desktop,Chrome,Direct,/,1,56,True,False
S1000003,11675,2024-08-17,20,Mobile,Chrome,Direct,/products,1,100,True,False
S1000004,,2024-03-23,20,Desktop,Firefox,Paid Search,/new-arrivals,1,68,True,False
S1000005,,2024-09-18,7,Mobile,Firefox,Paid Search,/category,1,101,True,False
S1000006,11940,2024-10-22,19,Tablet,Other,Social,/sale,1,50,True,False
S1000007,18426,2024-08-30,15,Mobile,Safari,Social,/new-arrivals,1,102,True,False
S1000008,19896,2024-10-28,22,Desktop,Chrome,Paid Search,/category,7,528,False,False
S1000009,14824,2024-10-21,20,Desktop,Safari,Direct,/,1,111,True,False
S1000010,16753,2024-01-22,12,Mobile,Chrome,Paid Search,/sale,1,104,True,False
S1000011,16262,2024-08-26,11,Desktop,Safari,Paid Search,/sale,1,62,True,False
S1000012,18556,2024-05-31,6,Mobile,Other,Organic Search,/new-arrivals,2,209,False,False
S1000013,,2024-07-29,14,Mobile,Firefox,Paid Search,/category,1,23,True,False
S1000014,16021,2024-05-27,13,Mobile,Edge,Direct,/new-arrivals,2,163,False,False
S1000015,16947,2024-08-24,9,Mobile,Safari,Email,/,4,373,False,True
S1000016,17410,2024-01-06,13,Mobile,Chrome,Organic Search,/,1,91,True,False
S1000017,,2024-06-29,23,Mobile,Chrome,Organic Search,/,1,93,True,False
S1000018,,2024-09-09,6,Desktop,Safari,Paid Search,/new-arrivals,1,97,True,False
S1000019,,2024-10-13,13,Mobile,Safari,Organic Search,/sale,2,96,False,False
S1000020,17476,2024-02-12,22,Mobile,Chrome,Direct,/category,1,94,True,False
S1000021,,2024-06-17,13,Tablet,Chrome,Paid Search,/category,1,117,True,False
S1000022,17400,2024-01-04,10,Mobile,Chrome,Referral,/sale,1,50,True,False
S1000023,17288,2024-05-08,23,Mobile,Safari,Organic Search,/,1,45,True,False
S1000024,17027,2024-09-10,17,Mobile,Chrome,Paid Search,/products,1,56,True,False
S1000025,10478,2024-06-13,18,Tablet,Other,Paid Search,/new-arrivals,1,93,True,False
S1000026,,2024-08-28,6,Mobile,Firefox,Social,/products,1,57,True,False
S1000027,18302,2024-05-29,14,Mobile,Safari,Paid Search,/category,1,45,True,False
S1000028,,2024-05-29,15,Mobile,Safari,Direct,/,1,106,True,False
S1000029,15155,2024-10-18,11,Desktop,Safari,Paid Search,/products,1,52,True,False
S1000030,,2024-05-14,17,Tablet,Chrome,Social,/category,2,205,False,False
S1000031,13045,2024-05-28,10,Mobile,Chrome,Direct,/sale,1,66,True,False
S1000032,,2024-01-13,14,Tablet,Chrome,Paid Search,/sale,1,39,True,False
S1000033,,2024-02-12,11,Mobile,Chrome,Organic Search,/sale,1,50,True,False
S1000034,13779,2024-10-10,7,Tablet,Safari,Email,/new-arrivals,1,59,True,False
S1000035,,2024-04-01,14,Desktop,Chrome,Organic Search,/products,1,118,True,False
S1000036,15515,2024-06-21,8,Mobile,Chrome,Direct,/sale,1,31,True,False
S1000037,18021,2024-08-18,14,Mobile,Firefox,Direct,/products,1,58,True,False
S1000038,,2024-09-05,13,Mobile,Chrome,Paid Search,/category,1,115,True,False
S1000039,13390,2024-03-05,15,Mobile,Chrome,Organic Search,/new-arrivals,1,46,True,False
S1000040,16599,2024-06-03,19,Mobile,Edge,Direct,/,2,235,False,False
S1000041,,2024-10-04,19,Mobile,Safari,Paid Search,/products,1,98,True,False
S1000042,14228,2024-06-10,19,Tablet,Firefox,Organic Search,/,1,109,True,False
